,smiles,gap,scscore,gap_score
0,Cc1cc(C)c2oc(-c3ccccc3)c(-c3cccs3)c2c1,2.794262251342,3.525258661259877,0.24176352
1,O=c1c(-c2ccccc2)coc2cc(Cl)c(F)cc12,2.64016693269,2.965619798234989,0.28469834
2,Cc1ccc(-n2ccnc2-c2ccc(Cl)cc2)cc1,3.15546324548,3.226299021140904,0.15938042
3,Fc1ccc(-c2cccc(-c3nccc4ncccc34)c2)c(F)c1,2.117910607579,3.987518359343232,0.45767975
4,Oc1cc(Cl)ccc1-c1c[nH]c2cc(F)ccc12,3.127398143172,3.2758409955972336,0.16486639
5,c1ccc(-c2cc3c(ncc4ncccc43)s2)cc1,2.001619320534,3.4853820826157165,0.4994174
6,Fc1ccc(-c2cc(-c3ccoc3)cc(-c3ccco3)n2)cc1,2.726881250642,3.9229455612803408,0.25998122
7,Clc1ccc(-c2cnccc2-c2ncco2)cc1,2.45588386996,3.669049660745512,0.34162307
8,Oc1ccc(-c2cccnc2)cc1-c1cc(F)c(F)cc1F,2.581386548175,3.7452275501887273,0.30223393
9,O=c1oc2cc(O)ccc2c2cc(Cl)ccc12,3.025406215966,2.6158165377460327,0.1860811
10,Fc1cccc(-c2ccc(-c3ccc(-c4ccccc4F)cc3)[nH]2)c1,2.558867250984,2.947957302343007,0.3091119
11,Fc1ccc(F)c(-c2ccc(-c3ccc4ccccc4c3)o2)c1,2.471779676768,3.630988322600944,0.33649668
12,c1ccc(-c2ccc(-c3sccc3-c3cccs3)cc2)cc1,2.660552782615,3.0270788597733063,0.27876177
13,Oc1c(-c2ccsc2)cc(-c2cccs2)c2cccnc12,2.269196922345,3.783410316714769,0.40434203
14,Cc1ccc(-c2ccsc2-c2ccc(F)cc2)cn1,2.542129987911,2.980258481269221,0.3142794
15,Cc1ccccc1-c1ccc(-c2nccc3ccccc23)cc1,2.360671126103,3.609495799091615,0.37307498
16,Fc1ccc(-c2cscc2-c2ccoc2)cc1,3.437479162166,3.056654784705397,0.11217656
17,Fc1ccc(-n2cc(Cl)c3ccccc32)cc1,3.087241399688,2.9893487290708483,0.1729781
18,c1ccc(-c2cc(-c3ccco3)cc(-c3cccs3)c2)cc1,2.929365969141,3.4603000226639917,0.20792723
19,Fc1ccc(-c2ccc3ccc(-c4cccs4)cc3c2)cc1,2.672115296964,3.086439932866506,0.27542865
20,Cc1ccc2c(=O)cc(-c3cccc(F)c3)oc2c1-c1ccccc1,2.39582818499,3.5978425549032824,0.3613193
21,Clc1ccc(-c2cn(-c3ccccc3)c3ccc(Cl)cc23)cc1,2.981021312054,3.636632153336532,0.19594981
22,Fc1ccc(-c2cscc2-c2cccc(Cl)c2)cc1,3.440756533197,3.146559321812004,0.11170769
23,Cc1c(-c2ccc(Cl)cc2)sc2cc(-c3cccc(F)c3)ccc12,2.691361572988,3.4938831288476844,0.2699356
24,Fc1ccc(-c2ccc(-c3ccc(-c4ccncc4)cc3)[nH]2)cc1Cl,2.464089030974,3.398861768257333,0.3389722
25,Cc1ccc2cc(-c3ccc(-c4ccccc4F)c(F)c3)oc2c1,2.672861164118,3.4748640315979284,0.2752145
26,Fc1cccnc1-c1cccc(-c2ccco2)c1,2.688412168389,3.0972036480830853,0.2707729
27,c1cncc(-c2ccc(-c3ccc(-c4ccsc4)cc3)cn2)c1,2.440144411812,3.65868670095248,0.34673575
